Transaction_ID,Patient_ID,Operation,Start_Time,End_Time,Latency_Seconds,Status
95,CLOUD_LAT_CNS_20260219_181204_P000005,GRANT,1771524746.628856209,1771524746.746409862,.117553653,SUCCESS
96,CLOUD_LAT_CNS_20260219_181204_P000001,REVOKE,1771524746.861480125,1771524747.004029283,.142549158,SUCCESS
97,CLOUD_LAT_CNS_20260219_181204_P000002,GRANT,1771524747.118009007,1771524747.238020649,.120011642,SUCCESS
98,CLOUD_LAT_CNS_20260219_181204_P000003,REVOKE,1771524747.352145778,1771524747.461732943,.109587165,SUCCESS
99,CLOUD_LAT_CNS_20260219_181204_P000004,GRANT,1771524747.576314988,1771524747.694130851,.117815863,SUCCESS
100,CLOUD_LAT_CNS_20260219_181204_P000005,REVOKE,1771524747.808072773,1771524747.925682828,.117610055,SUCCESS
101,CLOUD_LAT_CNS_20260219_181204_P000001,GRANT,1771524748.039280038,1771524748.149373321,.110093283,SUCCESS
102,CLOUD_LAT_CNS_20260219_181204_P000002,REVOKE,1771524748.263573553,1771524748.375382098,.111808545,SUCCESS
103,CLOUD_LAT_CNS_20260219_181204_P000003,GRANT,1771524748.492984853,1771524748.603694859,.110710006,SUCCESS
104,CLOUD_LAT_CNS_20260219_181204_P000004,REVOKE,1771524748.723599596,1771524748.830760673,.107161077,SUCCESS
105,CLOUD_LAT_CNS_20260219_181204_P000005,GRANT,1771524748.944411485,1771524749.084139041,.139727556,SUCCESS
106,CLOUD_LAT_CNS_20260219_181204_P000001,REVOKE,1771524749.198415075,1771524749.302934356,.104519281,SUCCESS
107,CLOUD_LAT_CNS_20260219_181204_P000002,GRANT,1771524749.418599241,1771524749.537973160,.119373919,SUCCESS
108,CLOUD_LAT_CNS_20260219_181204_P000003,REVOKE,1771524749.653040523,1771524749.763784130,.110743607,SUCCESS
109,CLOUD_LAT_CNS_20260219_181204_P000004,GRANT,1771524749.879965433,1771524749.994991995,.115026562,SUCCESS
110,CLOUD_LAT_CNS_20260219_181204_P000005,REVOKE,1771524750.110965991,1771524750.224365694,.113399703,SUCCESS
111,CLOUD_LAT_CNS_20260219_181204_P000001,GRANT,1771524750.338932139,1771524750.454740829,.115808690,SUCCESS
112,CLOUD_LAT_CNS_20260219_181204_P000002,REVOKE,1771524750.570039700,1771524750.677032271,.106992571,SUCCESS
113,CLOUD_LAT_CNS_20260219_181204_P000003,GRANT,1771524750.796981911,1771524750.910467917,.113486006,SUCCESS
114,CLOUD_LAT_CNS_20260219_181204_P000004,REVOKE,1771524751.026745424,1771524751.163556174,.136810750,SUCCESS
115,CLOUD_LAT_CNS_20260219_181204_P000005,GRANT,1771524751.279283960,1771524751.392441454,.113157494,SUCCESS
116,CLOUD_LAT_CNS_20260219_181204_P000001,REVOKE,1771524751.508215743,1771524751.620650010,.112434267,SUCCESS
117,CLOUD_LAT_CNS_20260219_181204_P000002,GRANT,1771524751.736080787,1771524751.850678933,.114598146,SUCCESS
118,CLOUD_LAT_CNS_20260219_181204_P000003,REVOKE,1771524751.965149375,1771524752.075092253,.109942878,SUCCESS
119,CLOUD_LAT_CNS_20260219_181204_P000004,GRANT,1771524752.189844704,1771524752.305657195,.115812491,SUCCESS
120,CLOUD_LAT_CNS_20260219_181204_P000005,REVOKE,1771524752.419956630,1771524752.528383038,.108426408,SUCCESS
121,CLOUD_LAT_CNS_20260219_181204_P000001,GRANT,1771524752.642562839,1771524752.761169998,.118607159,SUCCESS
122,CLOUD_LAT_CNS_20260219_181204_P000002,REVOKE,1771524752.883716799,1771524752.989098683,.105381884,SUCCESS
123,CLOUD_LAT_CNS_20260219_181204_P000003,GRANT,1771524753.103907806,1771524753.248476397,.144568591,SUCCESS
124,CLOUD_LAT_CNS_20260219_181204_P000004,REVOKE,1771524753.364206853,1771524753.477827733,.113620880,SUCCESS
